# Wrong spelling / correct spelling
กฏเกณฑ์ กฎเกณฑ์
กฏบัญ กฎบัญ
กฏหมาย กฎหมาย
กบฎ กบฏ
กษิตริย์ กษัตริย์
กาน การ
คริสจักร คริสตจักร
คริสติ์ คริสต์
คาสาอัน คานาอัน
เช็ญ เช็ญ
ติดสิน ตัดสิน
ทุรกันดาน ทุรกันดาร
บํญญํติ บัญญัติ
บํญญัติ	 บัญญัติ
บัญญํติ บัญญัติ
ปรากฎ ปรากฏ
พรองค์ พระองค์
พิพาษา พิพากษา
ฟิลิปปี ฟีลิปปี
ฟีลิบปี ฟีลิปปี
มงกุฏ มงกุฎ
มนุษย์ชาติ มนุษยชาติ
ศาสนากิจ ศาสนกิจ
เศคารยาห์ เศคาริยาห์
เสื่อผ้า เสื้อผ้า
อาดาม อาดัม



