GC08_print_th.typ	150.4	the paragraph between 150.3 and 150.5, printed as 150.3, becomes 150.4
GC08_print_th.typ	159.3	the first 160.1 becomes 159.3
GC12_print_th.typ	217.3	the paragraph between 217.2 and 218.1, printed as 217.1, becomes 217.3
GC33_print_th.typ	541.3	the paragraph between 541.2 and 541.4, printed as 541.2, becomes 541.3
GC35_print_th.typ	573.2	the paragraph between 573.1 and 574.1, printed as 573.1, becomes 573.2

numbers considered: 5; repaired: 5; left alone: 0
changes written
