# What was left out of the chapter files, by kind and by page.
# The text itself is not repeated here: it is in the PDF at the page named.
# kind	pages
CHAPTER-OPENER	43 places: p28, p51, p52, p79, p100, p119, p123, p175, p202, p217, p218, p231, p247, p276, p288, p309, p335, p346, p366, p393, p406, p426, p445, p463, p477, p488, p509, p519, p540, p554, p568, p575, p583, p598, p618, p658, p669, p680, p692, p714, p734, p744
DROPPED	1 places: p635
EMPTY-AFTER-TRIM	1 places: p28
PICTURE-CAPTION	183 places: p63, p64, p80, p101, p120, p121, p124, p148, p149, p176, p232, p248, p249, p280, p289, p310, p319, p347, p367, p478, p490, p555, p569, p619, p631, p655, p670, p735
UNKNOWN-TAG	2 places: p89, p466
